"Source","Target"
"MXP","RIX"
"OLB","RIX"
"RIX","TBS"
"RIX","TXL"
"RIX","VCE"
"CTA","FCO"
"CUN","FCO"
"CYO","MXP"
"FCO","HAV"
"FCO","MXP"
"FCO","PMO"
"FCO","TIA"
"FCO","TRN"
"HAV","CUN"
"HOG","MXP"
"SCU","FCO"
"FLL","KIN"
"FLL","MBJ"
"FLL","POS"
"GND","YYZ"
"JFK","KIN"
"JFK","MBJ"
"JFK","POS"
"KIN","YYZ"
"MIA","POS"
"NRT","PUS"
"DLA","SSG"
"ARN","GOT"
"ARN","HEL"
"ATH","MUC"
"BCN","VIE"
"CAN","CTU"
"CAN","HGH"
"CAN","SHA"
"CAN","SHE"
"CAN","TSN"
"CAN","WUH"
"CDG","PEK"
"CDG","PVG"
"CGO","CKG"
"CGO","CTU"
"CGO","HGH"
"CGO","HRB"
"CGO","URC"
"CGQ","NKG"
"CGQ","TNA"
"CKG","HGH"
"CKG","NKG"
"CKG","PEK"
"CKG","SHA"
"CKG","SJW"
"CKG","SZX"
"CKG","TNA"
"CKG","TPE"
"CKG","TSN"
"CKG","URC"
"CKG","WUH"
"CKG","WUX"
"CKG","XIY"
"CSX","CTU"
"CSX","TSN"
"CTU","HAK"
"CTU","HET"
"CTU","HFE"
"CTU","HGH"
"CTU","HKG"
"CTU","ICN"
"CTU","KHN"
"CTU","KWE"
"CTU","LHW"
"CTU","LJG"
"CTU","LXA"
"CTU","NKG"
"CTU","NNG"
"CTU","PEK"
"CTU","PVG"
"CTU","SHA"
"CTU","SHE"
"CTU","SYX"
"CTU","SZX"
"CTU","TAO"
"CTU","TNA"
"CTU","TPE"
"CTU","TYN"
"CTU","URC"
"CTU","WNZ"
"CTU","WUH"
"CTU","WUX"
"CTU","XIY"
"CTU","XMN"
"CTU","XNN"
"CZX","HRB"
"DLC","HRB"
"DLC","PVG"
"DLC","TNA"
"HAK","HGH"
"HEL","PEK"
"HEL","PVG"
"HET","TPE"
"HET","TSN"
"HGH","KMG"
"HGH","KWE"
"HGH","KWL"
"HGH","SHE"
"HGH","SZX"
"HGH","TPE"
"HRB","TNA"
"HRB","XIY"
"IAH","MEX"
"ICN","TAO"
"KIX","PVG"
"KMG","CAN"
"KMG","PEK"
"KMG","TYN"
"KMG","WUH"
"KMG","XMN"
"KWE","NKG"
"KWE","SHA"
"KWE","WNZ"
"KWL","PVG"
"KWL","XMN"
"LAX","PVG"
"LHR","PEK"
"LHR","PVG"
"LHW","URC"
"MFM","PVG"
"MNL","PEK"
"NNG","SZX"
"NNG","WUH"
"NNG","XIY"
"ORD","PEK"
"ORD","PVG"
"PEK","JNB"
"PEK","NGO"
"PEK","TPE"
"PEK","YVR"
"PEK","YYZ"
"PVG","TAO"
"PVG","YVR"
"PVG","YYZ"
"SHA","SZX"
"SHA","TAO"
"SHA","TSA"
"SHE","SZX"
"SHE","TAO"
"SHE","TYN"
"SHE","XIY"
"SYX","WNZ"
"SZX","TSN"
"TAO","WUH"
"TNA","XIY"
"TSN","XIY"
"TSN","XMN"
"XIY","XMN"
"XIY","XNN"
"AKL","BNE"
"AKL","SYD"
"AMS","BKK"
"BKK","TPE"
"BNE","TPE"
"CAN","TPE"
"CGK","TPE"
"CTS","TPE"
"DEL","FCO"
"DEL","TPE"
"DLC","TPE"
"DPS","TPE"
"FUK","TPE"
"GMP","TSA"
"GUA","LAX"
"GUM","TPE"
"HAN","TPE"
"HKG","TPE"
"HND","TSA"
"HNL","NRT"
"ICN","TPE"
"KHH","SGN"
"KUL","TPE"
"LAX","MSY"
"LAX","TPE"
"PNH","TPE"
"PUS","TPE"
"SFO","TPE"
"SGN","TPE"
"SZX","TPE"
"TAO","TPE"
"TPE","HND"
"TPE","XIY"
"TPE","YVR"
"BOG","CCS"
"BOG","CLO"
"BOG","CUN"
"BOG","HAV"
"BOG","MDE"
"BOG","PTY"
"BOG","PUJ"
"CUN","PTY"
"GDL","PTY"
"GUA","SJO"
"MEX","PTY"
"MGA","SJO"
"MIA","PTY"
"MTY","PTY"
"PAP","PTY"
"POS","PTY"
"PTY","SAL"
"PTY","SJO"
"SAP","SJO"
"SEA","IAH"
