source_city,target_city,Source,Target,latitude.x,longitude.x,aiportname.x,latitude.y,longitude.y,aiportname.y
Windsor Locks_US,Miami_US,BDL,MIA,41.9389,-72.683197,Bradley International Airport,25.7932,-80.290604,Miami International Airport
Windsor Locks_US,Philadelphia_US,BDL,PHL,41.9389,-72.683197,Bradley International Airport,39.871899,-75.241096,Philadelphia International Airport
Windsor Locks_US,Pittsburgh_US,BDL,PIT,41.9389,-72.683197,Bradley International Airport,40.491501,-80.232903,Pittsburgh International Airport
Bridgetown_Barbados,Miami_US,BGI,MIA,13.0746,-59.4925,Sir Grantley Adams International Airport,25.7932,-80.290604,Miami International Airport
Birmingham_US,Charlotte_US,BHM,CLT,33.562901,-86.753502,Birmingham-Shuttlesworth International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Birmingham_US,Washington_US,BHM,DCA,33.562901,-86.753502,Birmingham-Shuttlesworth International Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Birmingham_US,Dallas-Fort Worth_US,BHM,DFW,33.562901,-86.753502,Birmingham-Shuttlesworth International Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Birmingham_US,Miami_US,BHM,MIA,33.562901,-86.753502,Birmingham-Shuttlesworth International Airport,25.7932,-80.290604,Miami International Airport
Birmingham_US,Philadelphia_US,BHM,PHL,33.562901,-86.753502,Birmingham-Shuttlesworth International Airport,39.871899,-75.241096,Philadelphia International Airport
Del Bajio_Mexico,Dallas-Fort Worth_US,BJX,DFW,20.9935,-101.481003,Del Bajío International Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Bloomington_US,Dallas-Fort Worth_US,BMI,DFW,40.4771,-88.915901,Central Illinois Regional Airport at Bloomington-Normal,32.896801,-97.038002,Dallas Fort Worth International Airport
Bloomington_US,Chicago_US,BMI,ORD,40.4771,-88.915901,Central Illinois Regional Airport at Bloomington-Normal,41.9786,-87.9048,Chicago O'Hare International Airport
Nashville_US,Charlotte_US,BNA,CLT,36.1245,-86.6782,Nashville International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Nashville_US,Washington_US,BNA,DCA,36.1245,-86.6782,Nashville International Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Nashville_US,Dallas-Fort Worth_US,BNA,DFW,36.1245,-86.6782,Nashville International Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Nashville_US,Miami_US,BNA,MIA,36.1245,-86.6782,Nashville International Airport,25.7932,-80.290604,Miami International Airport
Nashville_US,Philadelphia_US,BNA,PHL,36.1245,-86.6782,Nashville International Airport,39.871899,-75.241096,Philadelphia International Airport
Boise_US,Phoenix_US,BOI,PHX,43.5644,-116.223,Boise Air Terminal/Gowen Field,33.434299,-112.012001,Phoenix Sky Harbor International Airport
Boston_US,Harrisburg_US,BOS,MDT,42.3643,-71.005203,General Edward Lawrence Logan International Airport,40.193501,-76.763397,Harrisburg International Airport
Boston_US,Miami_US,BOS,MIA,42.3643,-71.005203,General Edward Lawrence Logan International Airport,25.7932,-80.290604,Miami International Airport
Boston_US,Rochester_US,BOS,ROC,42.3643,-71.005203,General Edward Lawrence Logan International Airport,43.1189,-77.672401,Greater Rochester International Airport
Boston_US,Syracuse_US,BOS,SYR,42.3643,-71.005203,General Edward Lawrence Logan International Airport,43.111198,-76.1063,Syracuse Hancock International Airport
Brussels_Belgium,Philadelphia_US,BRU,PHL,50.901402,4.48444,Brussels Airport,39.871899,-75.241096,Philadelphia International Airport
Baton Rouge_US,Charlotte_US,BTR,CLT,30.533199,-91.149597,Baton Rouge Metropolitan Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Baton Rouge_US,Dallas-Fort Worth_US,BTR,DFW,30.533199,-91.149597,Baton Rouge Metropolitan Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Burlington_US,Washington_US,BTV,DCA,44.471901,-73.153297,Burlington International Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Burlington_US,Philadelphia_US,BTV,PHL,44.471901,-73.153297,Burlington International Airport,39.871899,-75.241096,Philadelphia International Airport
Buffalo_US,Charlotte_US,BUF,CLT,42.940498,-78.732201,Buffalo Niagara International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Buffalo_US,Washington_US,BUF,DCA,42.940498,-78.732201,Buffalo Niagara International Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Buffalo_US,Philadelphia_US,BUF,PHL,42.940498,-78.732201,Buffalo Niagara International Airport,39.871899,-75.241096,Philadelphia International Airport
Burbank_US,Phoenix_US,BUR,PHX,34.200699,-118.359001,Bob Hope Airport,33.434299,-112.012001,Phoenix Sky Harbor International Airport
Baltimore_US,Philadelphia_US,BWI,PHL,39.1754,-76.668297,Baltimore/Washington International Thurgood Marshall Airport,39.871899,-75.241096,Philadelphia International Airport
Belize City_Belize,Charlotte_US,BZE,CLT,17.539101,-88.308197,Philip S. W. Goldson International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Belize City_Belize,Dallas-Fort Worth_US,BZE,DFW,17.539101,-88.308197,Philip S. W. Goldson International Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Belize City_Belize,Miami_US,BZE,MIA,17.539101,-88.308197,Philip S. W. Goldson International Airport,25.7932,-80.290604,Miami International Airport
Columbia_US,Charlotte_US,CAE,CLT,33.938801,-81.119499,Columbia Metropolitan Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Columbia_US,Washington_US,CAE,DCA,33.938801,-81.119499,Columbia Metropolitan Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Columbia_US,Dallas-Fort Worth_US,CAE,DFW,33.938801,-81.119499,Columbia Metropolitan Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Columbia_US,Philadelphia_US,CAE,PHL,33.938801,-81.119499,Columbia Metropolitan Airport,39.871899,-75.241096,Philadelphia International Airport
Akron_US,Charlotte_US,CAK,CLT,40.9161,-81.4422,Akron Canton Regional Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Akron_US,Washington_US,CAK,DCA,40.9161,-81.4422,Akron Canton Regional Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Akron_US,Philadelphia_US,CAK,PHL,40.9161,-81.4422,Akron Canton Regional Airport,39.871899,-75.241096,Philadelphia International Airport
Paris_France,Charlotte_US,CDG,CLT,49.012798,2.55,Charles de Gaulle International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Chattanooga_US,Charlotte_US,CHA,CLT,35.035301,-85.203796,Lovell Field,35.214001,-80.9431,Charlotte Douglas International Airport
Chattanooga_US,Washington_US,CHA,DCA,35.035301,-85.203796,Lovell Field,38.8521,-77.037697,Ronald Reagan Washington National Airport
Chattanooga_US,Dallas-Fort Worth_US,CHA,DFW,35.035301,-85.203796,Lovell Field,32.896801,-97.038002,Dallas Fort Worth International Airport
